//single phase coef Number:=6,    upsample factor:=33,     downsample factor:=38
 -1212, 4016,26371, 4690,-1301,   -5,
-1125, 3378,26303, 5398,-1389,   -5,
-1038, 2776,26167, 6138,-1476,   -7,
 -954, 2212,25964, 6908,-1560,  -11,
 -873, 1686,25695, 7706,-1641,  -15,
 -794, 1199,25362, 8530,-1718,  -20,
 -719,  749,24967, 9376,-1788,  -26,
 -649,  338,24512,10241,-1850,  -33,
 -582,  -35,24000,11121,-1903,  -43,
 -519, -371,23434,12014,-1945,  -54,
 -461, -671,22817,12915,-1975,  -67,
 -407, -936,22153,13821,-1990,  -82,
 -357,-1167,21445,14727,-1989,  -99,
 -312,-1366,20698,15628,-1969, -120,
 -270,-1534,19916,16521,-1930, -143,
 -233,-1672,19102,17400,-1868, -170,
 -199,-1783,18262,18262,-1783, -199,
 -170,-1868,17400,19102,-1672, -233,
 -143,-1930,16521,19916,-1534, -270,
 -120,-1969,15628,20698,-1366, -312,
  -99,-1989,14727,21445,-1167, -357,
  -82,-1990,13821,22153, -936, -407,
  -67,-1975,12915,22817, -671, -461,
  -54,-1945,12014,23434, -371, -519,
  -43,-1903,11121,24000,  -35, -582,
  -33,-1850,10241,24512,  338, -649,
  -26,-1788, 9376,24967,  749, -719,
  -20,-1718, 8530,25362, 1199, -794,
  -15,-1641, 7706,25695, 1686, -873,
  -11,-1560, 6908,25964, 2212, -954,
   -7,-1476, 6138,26167, 2776,-1038,
   -5,-1389, 5398,26303, 3378,-1125,
   -5,-1301, 4690,26371, 4016,-1212,
